,home_team,away_team,home_proba_ga
0,magic,raptors,0.6993406226336741
1,76ers,cavaliers,0.7916751186711944
2,hawks,pacers,0.7629782914932464
3,suns,blazers,0.7745181255282828
4,lakers,jazz,0.6330450132596696
5,hornets,wizards,0.5976771078756388
6,magic,nuggets,0.5329806023977356
7,hawks,nets,0.72285144706444
8,celtics,bucks,0.6956124085007692
9,pacers,raptors,0.6610593943182326
10,cavaliers,heat,0.6479635768420565
11,rockets,grizzlies,0.6260091122562991
12,spurs,clippers,0.658710515268134
13,pelicans,kings,0.7061589646228895
14,thunder,bulls,0.5616458493503741
15,timberwolves,76ers,0.5750522703112838
16,blazers,jazz,0.49007000331279066
17,suns,warriors,0.7323913422807161
18,lakers,mavericks,0.6297159537956872
19,magic,celtics,0.5407972712597819
