GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2023-03-11,2022,0,1,0
2022-11-16,2022,0,1,0
2023-03-28,2022,0,2,1
2023-02-24,2022,0,2,1
2022-11-05,2022,0,3,1
2022-12-21,2022,0,4,0
2022-12-11,2022,0,4,1
2023-04-02,2022,0,5,1
2022-12-02,2022,0,6,1
2023-03-17,2022,0,7,1
2022-10-19,2022,0,8,1
2023-01-28,2022,0,9,0
2022-12-30,2022,0,10,0
2023-01-16,2022,0,11,1
2022-11-27,2022,0,11,0
2023-01-11,2022,0,12,0
2022-11-07,2022,0,12,1
2023-03-13,2022,0,13,0
2023-02-26,2022,0,14,1
2022-12-28,2022,0,14,0
2023-02-15,2022,0,15,0
2023-01-20,2022,0,15,1
2022-12-19,2022,0,16,1
2022-10-21,2022,0,16,1
2023-03-25,2022,0,17,1
2023-04-07,2022,0,18,0
2022-11-10,2022,0,18,1
2023-02-09,2022,0,19,1
2023-03-03,2022,0,20,1
2022-11-23,2022,0,21,1
2023-02-11,2022,0,22,1
2022-12-05,2022,0,23,0
2022-11-19,2022,0,24,1
2022-11-09,2022,0,25,0
2023-03-26,2022,0,26,0
2023-04-05,2022,0,27,1
2023-02-28,2022,0,27,0
2023-03-21,2022,0,28,1
2022-12-23,2022,0,28,1
2023-01-21,2022,0,29,0
2022-10-23,2022,0,29,0
2023-03-01,2022,1,2,1
2022-10-28,2022,1,2,0
2023-01-11,2022,1,3,1
2023-01-09,2022,1,4,1
2022-11-04,2022,1,4,1
2022-11-23,2022,1,5,1
2022-11-11,2022,1,6,1
2023-01-19,2022,1,7,1
2022-12-27,2022,1,8,1
2022-12-29,2022,1,9,1
2023-01-28,2022,1,10,1
2022-12-02,2022,1,11,0
2022-11-30,2022,1,11,1
2022-12-25,2022,1,12,1
2022-12-23,2022,1,13,1
2023-03-03,2022,1,14,0
2023-02-01,2022,1,14,1
2023-03-05,2022,1,15,0
2023-01-26,2022,1,15,0
2022-12-18,2022,1,16,0
2022-12-16,2022,1,16,0
2023-03-24,2022,1,17,1
2022-12-21,2022,1,17,0
2023-02-08,2022,1,18,1
2022-10-18,2022,1,18,1
2023-02-03,2022,1,19,0
2023-03-08,2022,1,20,1
2022-11-25,2022,1,21,1
2023-03-26,2022,1,22,1
2022-11-14,2022,1,23,1
2023-04-07,2022,1,24,1
2023-04-05,2022,1,24,1
2023-03-31,2022,1,25,1
2023-02-12,2022,1,26,1
2022-11-27,2022,1,27,1
2022-10-30,2022,1,27,1
2023-02-15,2022,1,28,1
2022-11-09,2022,1,28,1
2023-02-10,2022,1,29,1
2022-11-28,2022,1,29,1
2023-01-16,2022,2,3,1
2023-02-11,2022,2,4,1
2023-01-02,2022,2,4,1
2022-12-17,2022,2,5,1
2023-02-23,2022,2,6,0
2023-01-20,2022,2,7,0
2023-03-26,2022,2,8,1
2023-01-29,2022,2,9,1
2022-12-06,2022,2,10,1
2023-01-31,2022,2,11,0
2022-11-20,2022,2,11,1
2023-01-21,2022,2,12,1
2022-12-21,2022,2,12,1
2022-11-13,2022,2,13,0
2022-12-26,2022,2,14,0
2023-03-31,2022,2,15,0
2022-10-30,2022,2,15,1
2022-12-02,2022,2,16,1
2022-10-26,2022,2,16,1
2023-04-02,2022,2,17,1
2022-12-16,2022,2,17,1
2023-03-15,2022,2,18,0
2022-11-30,2022,2,18,1
2023-01-04,2022,2,19,1
2022-11-23,2022,2,20,1
2022-12-09,2022,2,21,0
2023-02-13,2022,2,22,1
2022-12-10,2022,2,23,1
2023-02-26,2022,2,24,1
2022-12-23,2022,2,24,0
2022-12-19,2022,2,25,1
2023-02-02,2022,2,26,1
2023-03-17,2022,2,27,1
2022-10-23,2022,2,27,1
2023-03-04,2022,2,28,1
2023-02-08,2022,2,28,1
2023-04-09,2022,2,29,0
2022-11-18,2022,2,29,1
2022-11-16,2022,3,4,1
2023-03-08,2022,3,5,1
2022-10-25,2022,3,5,1
2023-01-24,2022,3,6,0
2022-12-04,2022,3,6,1
2022-11-21,2022,3,7,1
2022-11-04,2022,3,7,1
2023-01-04,2022,3,8,1
2022-11-12,2022,3,8,1
2023-04-01,2022,3,9,1
2023-03-14,2022,3,10,0
2023-02-04,2022,3,10,1
2023-01-18,2022,3,11,0
2022-12-19,2022,3,12,0
2023-01-25,2022,3,13,0
2022-12-28,2022,3,13,1
2023-01-06,2022,3,14,0
2023-04-07,2022,3,15,1
2023-02-27,2022,3,16,0
2022-12-26,2022,3,17,1
2022-12-30,2022,3,18,1
