GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2023-12-11,2023,0,6,0
2023-11-11,2023,0,11,0
2023-10-30,2023,0,13,1
2023-12-06,2023,0,14,0
2023-11-22,2023,0,14,1
2023-11-15,2023,0,15,0
2023-10-27,2023,0,15,0
2023-11-21,2023,0,17,0
2023-11-17,2023,0,18,0
2023-12-29,2023,0,21,0
2023-12-23,2023,0,26,0
2023-11-01,2023,0,27,1
2023-12-18,2023,0,28,1
2023-12-14,2023,1,2,1
2023-12-12,2023,1,2,1
2023-11-28,2023,1,4,1
2023-10-27,2023,1,11,1
2023-12-21,2023,2,3,0
2023-11-19,2023,2,6,1
2023-11-05,2023,2,7,1
2023-12-18,2023,2,8,1
2023-11-25,2023,2,10,0
2023-11-22,2023,2,11,0
2023-12-29,2023,2,12,0
2023-10-31,2023,2,15,0
2023-12-06,2023,2,16,1
2023-10-28,2023,2,17,0
2023-11-30,2023,2,20,0
2023-10-27,2023,2,23,0
2023-11-26,2023,2,24,1
2023-12-20,2023,2,25,1
2023-11-17,2023,2,28,1
2023-11-14,2023,3,5,1
2023-11-12,2023,3,5,0
2023-11-17,2023,3,6,1
2023-10-30,2023,3,7,0
2023-12-23,2023,3,8,0
2023-12-31,2023,3,10,1
2023-12-11,2023,3,13,1
2023-11-18,2023,3,13,0
2023-10-28,2023,3,15,1
2023-11-29,2023,3,18,1
2023-11-22,2023,3,21,1
2023-11-20,2023,3,21,1
2023-12-01,2023,3,22,1
2023-12-28,2023,3,25,1
2023-12-26,2023,3,26,0
2023-12-19,2023,3,26,0
2023-11-02,2023,3,28,1
2023-12-12,2023,4,6,0
2023-12-20,2023,4,10,1
2023-11-20,2023,4,11,0
2023-11-18,2023,4,11,1
2023-11-30,2023,4,12,1
2023-11-03,2023,4,14,0
2023-11-17,2023,4,16,0
2023-11-15,2023,4,16,0
2023-12-28,2023,4,17,0
2023-12-30,2023,4,18,1
2023-11-08,2023,4,19,0
2023-12-21,2023,4,22,1
2023-10-25,2023,4,23,0
2023-10-27,2023,4,24,1
2023-11-06,2023,4,25,1
2023-11-12,2023,4,28,1
2023-12-06,2023,4,29,1
2023-11-28,2023,5,8,1
2023-12-20,2023,5,9,0
2023-11-10,2023,5,9,1
2023-12-12,2023,5,10,1
2023-12-14,2023,5,13,0
2023-10-27,2023,5,14,1
2023-11-19,2023,5,21,0
2023-12-23,2023,5,22,1
2023-12-02,2023,5,23,0
2023-11-08,2023,5,24,0
2023-12-06,2023,5,25,1
2023-12-01,2023,5,26,0
2023-11-05,2023,5,29,1
2023-12-25,2023,6,7,1
2023-11-08,2023,6,7,1
2023-12-08,2023,6,8,0
2023-11-29,2023,6,8,1
2023-11-14,2023,6,9,1
2023-11-20,2023,7,8,1
2023-11-30,2023,7,9,1
2023-12-28,2023,7,11,0
2023-11-14,2023,7,13,0
2023-11-12,2023,7,13,0
2023-12-16,2023,7,14,1
2023-10-24,2023,7,19,0
2023-12-23,2023,7,20,1
2023-12-06,2023,7,20,1
2023-11-01,2023,7,21,1
2023-11-24,2023,7,22,1
2023-11-18,2023,7,23,0
2023-11-16,2023,7,23,0
2023-12-22,2023,7,27,1
2023-11-08,2023,8,10,1
2023-12-26,2023,8,17,0
2023-12-29,2023,8,18,0
2023-12-27,2023,8,19,0
2023-11-06,2023,8,21,1
2023-11-04,2023,8,21,1
2023-12-11,2023,8,22,1
2023-10-30,2023,12,11,1
2023-12-05,2023,12,15,1
2023-11-03,2023,12,15,1
2023-12-21,2023,12,16,1
2024-01-01,2023,12,17,0
2023-12-13,2023,12,17,1
2023-12-07,2023,12,17,0
2023-10-26,2023,12,18,1
2023-11-26,2023,12,20,1
2023-12-19,2023,12,22,1
2023-11-24,2023,12,27,1
2023-11-04,2023,14,1,0
2023-12-22,2023,14,6,0
2023-11-08,2023,14,9,1
2023-11-25,2023,14,11,1
2023-12-20,2023,14,15,0
2023-12-02,2023,14,16,1
2023-11-14,2023,14,16,1
2023-11-19,2023,14,18,0
2023-11-28,2023,14,24,1
2023-12-08,2023,14,27,1
2023-11-12,2023,14,27,1
2023-12-23,2023,14,28,1
2023-10-25,2023,15,1,0
2023-11-06,2023,15,9,1
2023-11-15,2023,18,1,0
2023-11-08,2023,18,1,1
2023-11-27,2023,18,10,1
2023-12-20,2023,18,13,1
2023-11-14,2023,18,17,0
2023-11-12,2023,18,17,1
2023-11-04,2023,18,19,1
2023-10-29,2023,18,20,1
2023-12-22,2023,18,24,1
2023-11-02,2023,18,24,1
2023-12-11,2023,18,27,1
2023-11-06,2023,18,27,1
2023-12-15,2023,18,28,1
2023-12-01,2023,19,6,0
2023-11-10,2023,19,10,0
2023-11-17,2023,20,10,0
2023-10-27,2023,20,16,0
2023-12-19,2023,20,19,1
2023-12-26,2023,20,21,1
2023-12-29,2023,20,22,1
2023-12-28,2023,20,22,0
2023-11-19,2023,20,23,0
2023-12-14,2023,20,25,0
2023-11-22,2023,20,25,1
2023-11-05,2023,20,26,0
2023-11-03,2023,20,26,1
2023-12-21,2023,20,27,0
2023-12-20,2023,21,1,0
2023-12-02,2023,21,6,1
2023-11-29,2023,21,9,0
2023-10-29,2023,21,10,1
2023-12-23,2023,21,13,0
2023-12-22,2023,21,19,1
2023-12-14,2023,21,23,1
2023-11-10,2023,21,23,1
2023-12-16,2023,21,25,1
2023-12-18,2023,21,27,1
2023-12-31,2023,22,1,0
2023-11-22,2023,22,9,0
2023-11-20,2023,22,9,0
2023-12-15,2023,22,10,1
2023-12-13,2023,22,10,0
2023-11-12,2023,22,11,0
2023-11-10,2023,22,13,0
2023-11-05,2023,22,24,0
2023-12-26,2023,22,25,0
2023-11-18,2023,22,26,0
2023-10-30,2023,27,1,0
2023-11-26,2023,1,0,1
2023-12-16,2023,2,0,1
2023-11-28,2023,2,0,1
2023-11-04,2023,3,0,0
2023-12-26,2023,4,0,1
2023-12-20,2023,8,0,0
2023-12-22,2023,11,0,1
2023-12-02,2023,12,0,1
2023-10-29,2023,12,0,0
2023-11-09,2023,16,0,0
2023-12-08,2023,18,0,1
2023-11-30,2023,22,0,0
2023-11-06,2023,23,0,1
2023-12-15,2023,24,0,0
2023-12-13,2023,24,0,1
2023-12-31,2023,27,0,0
2023-11-25,2023,27,0,0
2023-11-14,2023,28,0,0
2023-10-25,2023,29,0,1
2023-12-19,2023,7,1,1
2023-12-23,2023,9,1,0
2023-12-25,2023,10,1,0
2023-12-23,2023,4,2,0
2023-12-27,2023,5,2,0
2023-11-11,2023,7,2,0
2023-12-08,2023,11,2,0
2023-10-25,2023,14,2,0
2023-11-01,2023,15,2,0
2023-12-11,2023,16,2,1
2023-11-03,2023,17,2,1
2023-11-21,2023,18,2,0
2023-11-15,2023,20,2,0
2023-11-13,2023,21,2,1
2023-11-08,2023,23,2,1
2024-01-01,2023,24,2,1
2023-12-02,2023,28,2,0
2023-12-02,2023,4,3,1
2023-11-06,2023,6,3,1
2023-11-10,2023,8,3,1
2023-11-24,2023,9,3,0
2023-12-07,2023,10,3,1
2023-11-08,2023,13,3,1
2023-12-04,2023,21,3,0
2023-12-17,2023,22,3,0
2023-11-01,2023,23,3,0
2023-11-27,2023,25,3,1
2023-11-25,2023,25,3,1
2023-10-25,2023,26,3,0
2023-12-13,2023,27,3,0
2023-12-15,2023,29,3,0
2023-11-01,2023,5,4,1
2023-11-04,2023,6,4,1
2023-12-16,2023,11,4,1
2023-12-14,2023,11,4,0
2023-12-11,2023,12,4,1
2023-11-13,2023,12,4,1
2023-11-26,2023,14,4,1
2023-10-30,2023,17,4,0
2023-12-18,2023,18,4,0
2023-12-08,2023,22,4,0
2023-11-22,2023,23,4,1
2023-11-24,2023,24,4,1
2023-10-28,2023,28,4,1
2023-12-18,2023,6,5,1
2023-11-03,2023,6,5,1
2023-12-30,2023,7,5,0
2023-12-22,2023,8,5,1
2023-11-25,2023,9,5,1
2023-11-22,2023,10,5,0
2023-11-18,2023,12,5,1
2023-12-28,2023,13,5,1
2023-11-06,2023,16,5,0
2023-12-25,2023,19,5,0
2023-12-16,2023,20,5,0
2023-12-08,2023,20,5,0
2023-10-25,2023,22,5,0
2024-01-01,2023,25,5,1
2023-12-11,2023,26,5,0
2023-10-30,2023,26,5,0
2023-11-15,2023,27,5,0
2023-11-24,2023,8,6,1
2023-11-12,2023,8,6,1
2023-12-06,2023,9,6,1
2023-11-27,2023,9,6,0
2023-10-29,2023,8,7,0
2023-12-14,2023,9,7,1
2023-12-02,2023,9,7,1
2023-12-12,2023,19,7,1
2023-11-22,2023,19,7,1
2023-12-17,2023,20,7,0
2023-11-28,2023,21,7,1
2023-10-27,2023,21,7,0
2023-12-08,2023,23,7,1
2023-11-03,2023,23,7,0
2023-11-06,2023,28,7,0
2023-11-17,2023,9,8,1
2023-12-02,2023,10,8,1
2023-11-19,2023,10,8,1
2023-12-17,2023,12,8,1
2023-10-25,2023,16,8,1
2023-10-27,2023,22,8,1
2023-11-22,2023,1,12,1
2023-11-28,2023,11,12,0
2023-12-27,2023,14,12,0
2023-11-06,2023,14,12,0
2023-12-25,2023,15,12,1
2023-12-23,2023,15,12,0
2023-11-11,2023,16,12,1
2023-11-09,2023,17,12,1
2023-11-15,2023,24,12,0
2023-11-01,2023,24,12,1
2023-11-20,2023,27,12,0
2023-11-10,2023,1,14,1
2023-12-14,2023,6,14,1
2023-11-16,2023,11,14,1
2023-11-01,2023,11,14,0
2023-12-13,2023,19,14,0
2023-12-11,2023,21,14,1
2023-12-31,2023,23,14,1
2023-12-18,2023,25,14,1
2023-12-29,2023,27,14,1
2023-12-26,2023,28,14,0
2023-12-08,2023,1,15,1
2023-11-13,2023,1,15,1
2023-12-16,2023,9,15,1
2023-12-18,2023,10,15,0
2023-12-01,2023,1,18,1
2023-12-25,2023,11,18,1
2023-11-22,2023,13,18,1
2023-12-27,2023,16,18,0
2023-11-25,2023,23,18,0
2023-10-28,2023,24,18,0
2023-12-06,2023,27,18,0
2023-12-13,2023,28,18,0
2023-11-10,2023,28,18,0
2023-12-16,2023,29,18,0
2023-12-05,2023,10,19,1
2023-10-26,2023,10,19,1
2023-12-11,2023,9,20,1
2023-10-25,2023,9,20,1
2023-11-12,2023,10,20,1
2023-11-27,2023,17,20,0
2024-01-01,2023,19,20,1
2023-11-21,2023,19,20,1
2023-11-08,2023,21,20,1
2023-10-30,2023,24,20,0
2023-12-02,2023,25,20,1
2023-11-14,2023,25,20,1
2023-11-01,2023,28,20,0
2023-12-12,2023,9,21,1
2023-11-15,2023,10,21,0
2023-11-24,2023,13,21,0
2023-12-08,2023,19,21,0
2023-11-17,2023,22,21,0
2023-10-25,2023,25,21,0
2023-12-31,2023,26,21,0
2023-11-26,2023,6,22,1
2023-10-29,2023,9,22,1
2023-12-06,2023,13,22,1
2023-11-08,2023,15,22,1
2023-11-06,2023,17,22,1
2023-11-02,2023,19,22,0
2023-10-31,2023,19,22,0
2023-11-14,2023,23,22,1
