TEAM_NAME,W,L,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
Atlanta Hawks,38,44,3966.0,103.4,104.9,104.1,105.7,-0.7,-0.7,0.667,1.63,18.8,0.256,0.711,0.485,0.159,0.515,0.554,96.9,95.41,79.51,7892,0.502
Boston Celtics,25,57,3946.0,99.7,101.9,105.2,106.5,-5.5,-4.6,0.576,1.37,16.2,0.314,0.708,0.505,0.163,0.477,0.517,95.9,94.28,78.57,7745,0.461
Brooklyn Nets,44,38,3976.0,104.4,105.4,104.9,106.7,-0.6,-1.3,0.585,1.44,16.7,0.26,0.686,0.475,0.155,0.514,0.555,93.7,92.42,77.02,7663,0.492
Charlotte Bobcats,43,39,3981.0,101.2,103.0,101.2,103.3,0.1,-0.4,0.597,1.76,16.9,0.269,0.73,0.5,0.131,0.481,0.522,94.7,92.93,77.44,7712,0.508
Chicago Bulls,48,34,3986.0,99.7,101.7,97.8,99.9,1.9,1.9,0.654,1.52,17.6,0.321,0.713,0.518,0.162,0.471,0.518,92.7,90.84,75.7,7549,0.528
Cleveland Cavaliers,33,49,3986.0,101.3,103.5,104.8,107.0,-3.5,-3.6,0.572,1.49,16.2,0.314,0.711,0.508,0.149,0.479,0.518,95.7,93.69,78.08,7784,0.469
Dallas Mavericks,49,33,3966.0,109.0,109.5,105.9,107.2,3.0,2.3,0.596,1.74,18.0,0.276,0.694,0.487,0.141,0.526,0.564,95.7,94.94,79.12,7852,0.521
Denver Nuggets,36,46,3951.0,103.3,105.1,105.4,107.3,-2.1,-2.2,0.584,1.41,16.4,0.31,0.703,0.505,0.16,0.497,0.536,100.7,98.95,82.46,8146,0.481
Detroit Pistons,29,53,3956.0,102.9,105.2,107.3,109.0,-4.4,-3.7,0.539,1.44,15.6,0.347,0.693,0.511,0.152,0.482,0.514,97.4,95.57,79.64,7874,0.464
Golden State Warriors,51,31,3966.0,105.3,106.3,99.9,101.4,5.4,4.9,0.591,1.53,17.4,0.284,0.724,0.508,0.155,0.517,0.55,98.5,97.37,81.14,8045,0.528
Houston Rockets,54,28,3966.0,108.6,109.8,103.1,105.2,5.5,4.6,0.563,1.33,16.1,0.306,0.7,0.513,0.165,0.531,0.571,98.8,97.27,81.06,8040,0.534
Indiana Pacers,56,26,3956.0,101.5,103.6,96.7,98.9,4.8,4.7,0.56,1.33,15.9,0.296,0.721,0.517,0.162,0.49,0.535,94.9,92.89,77.41,7656,0.545
Los Angeles Clippers,57,25,3951.0,109.4,111.3,102.1,104.0,7.3,7.3,0.628,1.77,18.3,0.288,0.69,0.496,0.143,0.526,0.567,98.4,96.66,80.55,7954,0.548
Los Angeles Lakers,27,55,3941.0,101.9,103.2,107.9,109.3,-6.0,-6.0,0.639,1.62,18.1,0.235,0.676,0.459,0.152,0.505,0.542,101.0,99.72,83.1,8177,0.46
Memphis Grizzlies,50,32,3961.0,103.3,105.5,102.1,103.8,1.2,1.7,0.574,1.59,17.1,0.326,0.718,0.521,0.15,0.494,0.529,92.2,90.58,75.48,7476,0.518
Miami Heat,54,28,3976.0,109.0,110.0,102.9,105.0,6.1,5.1,0.588,1.52,18.1,0.244,0.686,0.476,0.159,0.554,0.59,93.3,91.9,76.58,7615,0.539
Milwaukee Bucks,15,67,3976.0,100.2,101.9,108.9,110.2,-8.7,-8.3,0.596,1.42,16.5,0.31,0.678,0.49,0.161,0.479,0.519,94.3,92.96,77.47,7685,0.449
Minnesota Timberwolves,40,42,3971.0,105.6,107.7,104.1,105.2,1.4,2.6,0.616,1.72,17.3,0.317,0.715,0.508,0.14,0.486,0.535,99.8,98.33,81.94,8139,0.519
New Orleans Pelicans,34,48,3971.0,104.7,106.2,107.3,109.1,-2.6,-3.0,0.563,1.55,16.5,0.305,0.694,0.497,0.147,0.495,0.537,94.5,93.07,77.56,7703,0.483
